ENGLISH,TURKISH
danger,tehlike
dangerous,tehlikeli
dare,cesaret
dark,karanlık
darkness,karanlık
data,veri
date,tarih
daughter,kız çocuğu
day,gün
dead,ölü
deal,anlaşmak
dealer,satıcı
dear,Sayın
death,ölüm
debate,çekişme
debt,borç
decade,on yıl
decide,karar vermek
decision,karar
deck,güverte
declare,ilan etmek
decline,reddetmek
decrease,azaltmak
deep,derin
deeply,derinden
deer,geyik
defeat,yenmek
defend,savunmak
defendant,sanık
defense,savunma
defensive,savunma
deficit,açık
define,tanımlamak
definitely,kesinlikle
definition,tanım
degree,derece
delay,gecikme
deliver,teslim etmek
delivery,teslimat
demand,talep etmek
democracy,demokrasi
Democrat,Demokrat
democratic,demokratik
demonstrate,göstermek
demonstration,gösteri
deny,reddetmek
department,departman
depend,bağlı olmak
dependent,bağımlı
depending,bağlı olarak
depict,tasvir etmek
depression,depresyon
depth,derinlik
deputy,milletvekili
derive,türetmek
describe,betimlemek
description,Tanım
desert,çöl
deserve,hak etmek
design,tasarım
designer,tasarımcı
desire,arzu
desk,çalışma masası
desperate,çaresiz
despite,aksine
destroy,tahrip etmek
destruction,yıkım
detail,detay
detailed,ayrıntılı
detect,tespit etmek
determine,belirlemek
develop,geliştirmek
developing,gelişen
development,gelişim
device,cihaz
devote,adamak
dialogue,diyalog
die,ölmek
diet,diyet
differ,farklı
difference,fark
different,farklı
differently,farklı
difficult,zor
difficulty,zorluk
dig,kazmak
digital,dijital
dimension,boyut
dining,yemek
dinner,akşam yemeği
direct,doğrudan
direction,yön
directly,doğrudan
director,müdür
dirt,kir
dirty,kirli
disability,sakatlık
disagree,aynı fikirde olmamak
disappear,yok olmak
disaster,felaket
discipline,disiplin
discourse,söylem
discover,keşfetmek
discovery,keşif
discrimination,ayrımcılık
discuss,tartışmak
discussion,tartışma
disease,hastalık
dish,tabak
dismiss,azletmek
disorder,düzensizlik
display,görüntülemek
dispute,anlaşmazlık
distance,mesafe
distant,mesafe
distinct,belirgin
distinction,ayrım
distinguish,ayırt etmek
distribute,dağıtmak
distribution,dağıtım
district,semt
diverse,türlü
diversity,çeşitlilik
divide,bölmek
division,bölüm
divorce,boşanmak
do,Yapmak
doctor,doktor
document,belge
dog,köpek
domestic,yerel
dominant,baskın
dominate,hakim olmak
door,kapı
double,çift
doubt,şüphe
down,aşağı
downtown,şehir merkezi
dozen,düzine
draft,taslak
drag,sürüklemek
drama,dram
dramatic,dramatik
dramatically,dramatik bir şekilde
draw,çizmek
drawing,çizim
dream,rüya
dress,elbise
drink,içmek
drive,sürmek
driver,sürücü
drop,düşürmek
drug,ilaç
dry,kuru
due,vadesi dolmuş
during,sırasında
dust,toz
duty,görev
each,her biri
eager,istekli
ear,kulak
early,erken
earn,para kazanmak
earnings,kazanç
earth,toprak
ease,kolaylaştırmak
easily,kolayca
east,doğu
eastern,doğu
easy,kolay
eat,yemek yemek
economic,ekonomik
economics,ekonomi
economist,iktisatçı
economy,ekonomi
edge,kenar
edition,baskı
editor,editör
educate,eğitmek
education,eğitim
educational,eğitici
educator,eğitimci
effect,etki
effective,etkili
effectively,etkili bir şekilde
efficiency,yeterlik
efficient,verimli
effort,çaba
egg,yumurta
eight,sekiz
either,herhangi biri
elderly,yaşlı
elect,seçmek
election,seçim
electric,elektrik
electricity,elektrik
electronic,elektronik
element,eleman
elementary,temel
eliminate,elemek
elite,elit
else,başka
elsewhere,başka yerde
e-mail,e-posta
embrace,kucaklamak
emerge,meydana gelmek
emergency,acil durum
emission,emisyon
emotion,duygu
emotional,duygusal
emphasis,vurgu
emphasize,vurgu
employ,istihdam etmek
employee,çalışan
employer,iş veren
employment,istihdam
empty,boş
enable,olanak vermek
encounter,rastlamak
encourage,cesaretlendirmek
end,son
enemy,düşman
energy,enerji
enforcement,icra
engage,angaje etmek
engine,motor
engineer,mühendis
engineering,mühendislik
English,İngilizce
enhance,genişletmek
enjoy,Eğlence
enormous,kocaman
enough,yeterli
ensure,emin olmak
enter,girmek
enterprise,girişim
entertainment,eğlence
entire,bütün
entirely,tamamen
entrance,giriş
entry,giriş
environment,çevre
environmental,çevresel
episode,bölüm
equal,eşit
equally,eşit olarak
equipment,teçhizat
era,çağ
error,hata
escape,kaçmak
especially,özellikle
essay,makale
essential,gerekli
essentially,esasen
establish,kurmak
establishment,kuruluş
estate,emlak
estimate,tahmin etmek
etc,vesaire
ethics,etik
ethnic,etnik
european,avrupa
evaluate,değerlendirmek
evaluation,değerlendirme
even,eşit
evening,akşam
event,etkinlik
eventually,sonunda
ever,durmadan
every,Her
everybody,herkes
everyday,Her gün
everyone,herkes
everything,her şey
everywhere,her yer
evidence,kanıt
evolution,evrim
evolve,evrim geçirmek
exact,bire bir aynı
exactly,Kesinlikle
examination,muayene
examine,incelemek
example,örnek
exceed,aşmak
excellent,harika
except,hariç
exception,istisna
exchange,değişme
exciting,heyecan verici
executive,yönetici
exercise,egzersiz yapmak
exhibit,sergilemek
exhibition,sergi
exist,var olmak
existence,varoluş
existing,mevcut
expand,genişletmek
expansion,genleşme
expect,beklemek
expectation,beklenti
expense,gider
expensive,masraflı
experience,deneyim
experiment,deney
expert,uzman
explain,açıklamak
explanation,açıklama
explode,patlamak
explore,keşfetmek
explosion,patlama
expose,ortaya çıkarmak
exposure,maruziyet
express,ifade etmek
expression,ifade
extend,uzatmak
extension,eklenti
extensive,yaygın
extent,kapsam
external,harici
extra,ekstra
extraordinary,olağanüstü
extreme,aşırı
extremely,aşırı boyutta
eye,göz
fabric,kumaş
face,yüz
facility,tesis
fact,hakikat
factor,faktör
factory,fabrika
faculty,fakülte
fade,solmak
fail,hata
failure,arıza
fair,adil
fairly,adil bir şekilde
faith,inanç
fall,düşmek
familiar,aşina
family,aile
famous,ünlü
fan,fan
fantasy,fantezi
far,uzak
farm,çiftlik
farmer,çiftçi
fashion,moda
fast,hızlı
fat,yağ
fate,kader
father,baba
fault,arıza
favor,iyilik
favorite,favori
fear,korku
feature,özellik
federal,federal
fee,ücret
feed,beslemek
feel,hissetmek
feeling,his
fellow,aynı tür
female,dişi
fence,çit
few,bir kaç
fewer,daha az
fiber,lif
fiction,kurgu
field,alan
fifteen,on beş
fifth,beşinci
fifty,elli
fight,kavga
fighter,savaşçı
fighting,kavga
figure,figür
file,dosya
fill,doldurmak
film,film
final,son
finally,Sonunda
finance,finans
financial,mali
find,bulmak
finding,bulma
fine,iyi
finger,parmak
finish,sona ermek
fire,ateş
firm,firma
first,Birinci
fish,balık
fishing,balıkçılık
fit,yerleştirmek
fitness,uygunluk
five,beş
fix,düzeltmek
flag,bayrak
flame,alev
flat,düz
flavor,lezzet
flee,kaçmak
flesh,et
flight,uçuş
float,batmadan yüzmek
floor,zemin
flow,akış
flower,çiçek
fly,uçmak
focus,odak
folk,halk
follow,takip etmek
following,takip etme
food,yiyecek
foot,ayak
football,futbol
for,için
force,güç
foreign,yabancı
forest,orman
forever,sonsuza kadar
forget,unutmak
form,biçim
formal,resmi
formation,formasyon
former,önceki
formula,formül
forth,ileri
fortune,talih
forward,ileri
found,kurmak
foundation,temel
founder,kurucu
four,dört
fourth,dördüncü
frame,çerçeve
framework,çerçeve
free,özgür
freedom,özgürlük
freeze,dondurmak
French,Fransızca
frequency,sıklık
frequent,sık
frequently,sıklıkla
fresh,taze
friend,arkadaş
friendly,arkadaşça
friendship,dostluk
from,itibaren
front,ön
fruit,meyve
frustration,hayal kırıklığı
fuel,yakıt
full,tam dolu
fully,tamamen
fun,eğlence
function,işlev
fund,fon
fundamental,esas
funding,finansman
funeral,cenaze
funny,eğlenceli
furniture,mobilya
furthermore,üstelik
future,gelecek
gain,kazanmak
galaxy,gökada
gallery,galeri
game,oyun
gang,çete
gap,açıklık
garage,garaj
garden,bahçe
garlic,sarımsak
gas,gaz
gate,geçit
gather,toplamak
gay,eşcinsel
gaze,bakış
gear,vites
gender,cinsiyet
gene,gen
general,genel
generally,genel olarak
generate,oluşturmak
generation,nesil
genetic,genetik
gentleman,beyefendi
gently,yavaşça
German,Almanca
gesture,jest yapmak
get,elde etmek
ghost,hayalet
giant,devasa
gift,hediye
gifted,yetenekli
girl,kız
girlfriend,kız arkadaş
give,vermek
given,verildi
glad,memnun
glance,bakış atmak
glass,bardak
global,küresel
glove,eldiven
go,Gitmek
goal,amaç
God,Tanrı
gold,altın
golden,altın
golf,golf
good,iyi
government,devlet
governor,vali
grab,yakalamak
grade,seviye
gradually,gitgide
graduate,mezun olmak
grain,tahıl
grand,büyük
grandfather,büyükbaba
grandmother,büyükanne
grant,hibe etmek
grass,çimen
grave,mezar
gray,gri
great,Harika
greatest,en büyük
green,yeşil
grocery,bakkal
ground,zemin
group,grup
grow,büyümek
growing,büyüyor
growth,büyüme
guarantee,garanti
guard,koruma
guess,tahmin etmek
guest,misafir
guide,rehber
guideline,kılavuz
guilty,suçlu
gun,silah
guy,adam
habit,alışkanlık
habitat,doğal ortam
hair,saç
half,yarım
hall,salon
hand,el
handful,avuç
handle,halletmek
hang,asmak
happen,olmak
happy,mutlu
hard,zor
hardly,zorlu
hat,şapka
hate,nefret
have,sahip olmak
he,O
head,KAFA
headline,başlık
headquarters,karargah
health,sağlık
healthy,sağlıklı
hear,duymak
hearing,işitme
heart,kalp
heat,sıcaklık
heaven,cennet
heavily,ağır bir şekilde
heavy,ağır
heel,topuk
height,yükseklik
helicopter,helikopter
hell,cehennem
hello,Merhaba
help,yardım
helpful,yardımsever
her,o
here,Burada
heritage,miras
hero,kahraman
herself,kendini
hey,Hey
hi,MERHABA
hide,saklamak
high,yüksek
highlight,vurgulamak
highly,son derece
highway,otoyol
hill,tepe
him,o
himself,kendisi
hip,belki
hire,kiralamak
his,onun
historian,tarihçi
historic,tarihi
historical,tarihi
history,tarih
hit,vurmak
hold,tutmak
hole,delik
holiday,tatil
holy,kutsal
home,Ev
homeless,evsiz
honest,dürüst
honey,Bal
honor,onur
hope,umut
horizon,ufuk
horror,korku
horse,atış
hospital,hastane
host,ev sahibi
hot,sıcak
hotel,otel
hour,saat
house,ev
household,ev
housing,konut
how,Nasıl
however,Yine de
huge,büyük
human,insan
humor,mizah
hundred,yüz
hungry,aç
hunter,avcı
hunting,Avcılık
hurt,acıtmak
husband,koca
hypothesis,hipotez
I,BEN
ice,buz
idea,fikir
ideal,ideal
identification,Tanılama
identify,tanımlamak
identity,kimlik
ie,yani
if,eğer
ignore,görmezden gelmek
ill,hasta
illegal,yasa dışı
illness,hastalık
illustrate,göstermek
image,resim
imagination,hayal gücü
imagine,hayal etmek
immediate,acil
immediately,hemen
immigrant,göçmen
immigration,göç
impact,darbe
implement,uygulamak
implication,ima
imply,ima etmek
importance,önem
important,önemli
impose,empoze etmek
impossible,imkansız
impress,etkilemek
impression,izlenim
impressive,etkileyici
improve,geliştirmek
improvement,gelişim
in,içinde
incentive,teşvik
incident,olay
include,katmak
including,içermek
income,gelir
incorporate,firma kurmak
increase,arttırmak
increased,artırılmış
increasing,artan
increasingly,giderek
incredible,inanılmaz
indeed,Aslında
independence,bağımsızlık
independent,bağımsız
index,dizin
Indian,Hint
indicate,belirtmek
indication,gösterge
individual,bireysel
industrial,endüstriyel
industry,endüstri
infant,bebek
infection,enfeksiyon
inflation,enflasyon
influence,etkilemek
inform,bilgi vermek
information,bilgi
ingredient,bileşen
initial,ilk
initially,ilk olarak
initiative,girişim
injury,incinme
inner,iç
innocent,masum
inquiry,sorgu
inside,içeri
insight,iç yüzü
insist,ısrar etmek
inspire,ilham vermek
install,düzenlemek
instance,misal
instead,yerine
institution,kurum
institutional,kurumsal
instruction,talimat
instructor,eğitmen
instrument,enstrüman
insurance,sigorta
intellectual,entelektüel
intelligence,istihbarat
intend,niyet etmek
intense,yoğun
intensity,yoğunluk
intention,niyet
interaction,etkileşim
interest,faiz
interested,ilgili
interesting,ilginç
internal,dahili
international,uluslararası
Internet,internet
interpret,yorumlamak
interpretation,tercüme
intervention,araya girmek
interview,röportaj
into,içine
introduce,tanıtmak
introduction,giriiş
invasion,istila
invest,yatırım
investigate,araştırmak
investigation,soruşturma
investigator,araştırmacı
investment,yatırım
investor,yatırımcı
invite,davet etmek
involve,içermek
involved,dahil olmuş
involvement,katılım
Iraqi,Irak
Irish,İrlandalı
iron,ütü
Islamic,İslami
island,ada
Israeli,İsrail
issue,sorun
it,BT
Italian,İtalyan
item,öğe
its,onun
itself,kendisi
jacket,ceket
jail,hapishane
Japanese,Japonca
jet,jet
Jew,Yahudi
Jewish,Yahudi
job,iş
join,katılmak
joint,eklem yeri
joke,şaka
journal,günlük
journalist,gazeteci
journey,seyahat
joy,neşe
judge,yargıç
judgment,yargı
juice,meyve suyu
jump,zıplamak
junior,genç
jury,jüri
just,Sadece
justice,adalet
justify,savunmak
keep,kale
key,anahtar
kick,tekme atmak
kid,çocuk
kill,öldürmek
killer,katil
killing,öldürme
kind,tür
king,kral
kiss,öpücük
kitchen,mutfak
knee,diz
knife,bıçak
knock,kapıyı çalmak
know,Bilmek
knowledge,bilgi
lab,laboratuvar
label,etiket
labor,iş gücü
laboratory,laboratuvar
lack,eksiklik
lady,bayan
lake,göl
land,kara
landscape,manzara
language,dil
lap,kucak
large,büyük
largely,büyük ölçüde
last,son
late,geç
later,Daha sonra
Latin,Latince
latter,ikincisi
laugh,gülmek
launch,öğle yemeği
law,kanun
lawn,çim
lawsuit,dava
lawyer,avukat
lay,sermek
layer,katman
lead,yol göstermek
leader,lider
leadership,liderlik
leading,önde gelen
leaf,yaprak
league,lig
lean,eğilmek
learn,öğrenmek
learning,öğrenme
least,en az
leather,deri
leave,ayrılmak
left,sol
leg,bacak
legacy,miras
legal,yasal
legend,efsane
legislation,mevzuat
legitimate,meşru
lemon,limon
length,uzunluk
less,az
lesson,ders
let,izin vermek
letter,mektup
level,seviye
liberal,liberal
library,kütüphane
license,lisans
lie,yalan
life,hayat
lifestyle,yaşam tarzı
lifetime,ömür boyu
lift,kaldırmak
light,ışık
like,beğenmek
likely,büyük ihtimalle
limit,sınır
limitation,sınırlama
limited,sınırlı
line,astar
link,bağlantı
lip,dudak
list,liste
listen,Dinlemek
literally,gerçekten
literary,edebi
literature,edebiyat
little,biraz
live,canlı
living,yaşamak
load,yük
loan,borç
local,yerel
locate,yerini bulmak
location,konum
lock,kilit
long,uzun
long-term,uzun vadeli
look,Bakmak
loose,gevşetmek
lose,kaybetmek
loss,kayıp
lost,kayıp
lot,pay
lots,sürü
loud,yüksek sesle
love,Aşk
lovely,sevimli
lover,sevgili
low,Düşük
lower,daha düşük
luck,şans
lucky,şanslı
lunch,öğle yemeği
lung,akciğer
machine,makine
mad,kızgın
magazine,dergi
mail,posta
main,ana
mainly,daha çok
maintain,sürdürmek
maintenance,Bakım
major,ana
majority,çoğunluk
make,yapmak
maker,yapıcı
makeup,makyaj yapmak
male,erkek
mall,alışveriş merkezi
man,Adam
manage,üstesinden gelmek
management,yönetmek
manager,müdür
manner,biçim
manufacturer,üretici
manufacturing,üretme
many,birçok
map,harita
margin,marj
mark,işaret
market,pazar
marketing,pazarlama
marriage,evlilik
married,evli
marry,evlenmek
mask,maske
mass,yığın
massive,cüsseli
master,usta
match,kibrit
material,malzeme
math,matematik
matter,konu
may,mayıs
maybe,Belki
mayor,belediye başkanı
me,Ben
meal,yemek
mean,Anlam
meaning,Anlam
meanwhile,Bu sırada
measure,ölçüm
measurement,ölçüm
meat,et
mechanism,mekanizma
media,medya
medical,tıbbi
medication,ilaç tedavisi
medicine,ilaç
medium,orta
meet,tanışmak
meeting,toplantı
member,üye
membership,üyelik
memory,hafıza
mental,zihinsel
mention,değinmek
menu,menü
mere,sadece
merely,sadece
mess,karışıklık
message,mesaj
metal,maden
meter,metre
method,yöntem
Mexican,Meksika
middle,orta
might,belki
military,askeri
milk,süt
million,milyon
mind,akıl
mine,bana ait
minister,bakan
minor,küçük
minority,azınlık
minute,dakika
miracle,mucize
mirror,ayna
miss,kayıp
missile,füze
mission,misyon
mistake,hata
mix,karışım
mixture,karışım
mm-hmm,mm-hmm
mode,mod
model,modeli
moderate,ılıman
modern,modern
modest,mütevazı
mom,anne
moment,an
money,para
monitor,monitör
month,ay
mood,mod
moon,ay
moral,ahlaki
more,Daha
moreover,Dahası
morning,Sabah
mortgage,ipotek
most,en
mostly,çoğunlukla
mother,anne
motion,hareket
motivation,motivasyon
motor,motor
mount,montaj
mountain,dağ
mouse,fare
mouth,ağız
move,taşınmak
movement,hareket
movie,film
Mr,Bay
Mrs,Bayan
Ms,Bayan
much,fazla
multiple,çoklu
murder,cinayet
muscle,kas
museum,müze
music,müzik
musical,müzikal
